No,カテゴリ,質問項目,プロンプト,救急受診ガイドの判定
1,アルゴリズム,呼吸をしていない。息がない。,あなたは救急医です。救急受診が必要かどうかを判断してください。呼吸をしていない。息がない。はい。,赤
2,アルゴリズム,脈がない。心臓が止まっている。,あなたは救急医です。救急受診が必要かどうかを判断してください。脈がない。心臓が止まっている。はい。,赤
3,アルゴリズム,沈んでいる。,あなたは救急医です。救急受診が必要かどうかを判断してください。沈んでいる。はい。,赤
4,アルゴリズム,冷たくなっている。,あなたは救急医です。救急受診が必要かどうかを判断してください。冷たくなっている。はい。,赤
5,アルゴリズム,呼びかけても、反応がない。,あなたは救急医です。救急受診が必要かどうかを判断してください。呼びかけても、反応がない。はい。,赤
6,アルゴリズム,（いつもどおり）普通にしゃべれない。声が出せない。,あなたは救急医です。救急受診が必要かどうかを判断してください。（いつもどおり）普通にしゃべれない。声が出せない。はい。,赤
7,アルゴリズム,"顔色、唇、耳の色が悪い。
冷汗をかいている。",あなたは救急医です。救急受診が必要かどうかを判断してください。顔色、唇、耳の色が悪い。冷汗をかいている。はい。,赤
8,息が苦しい（成人）,急に息が苦しくなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。急に息が苦しくなりましたか？はい。,赤
9,息が苦しい（成人）,泡状のピンク色〔または〕白い痰（たん）がたくさん出ますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。泡状のピンク色または白い痰（たん）がたくさん出ますか？はい。,赤
10,息が苦しい（成人）,しばらく（数時間程度）その状態が続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。しばらく（数時間程度）その状態が続いていますか？はい。,赤
11,息が苦しい（成人）,以前に肺梗塞（エコノミークラス/ ロングフライト症候群、深部静脈血栓症、下肢静脈血栓症など）〔または〕気胸〔または〕自然気胸〔または〕慢性呼吸不全と言われたことがありますか?,あなたは救急医です。救急受診が必要かどうかを判断してください。息が苦しい（成人）。以前に肺梗塞（エコノミークラス/ロングフライト症候群、深部静脈血栓症、下肢静脈血栓症など）または気胸または自然気胸または慢性呼吸不全と言われたことがありますか?はい。,赤
